SalesOrderID,OrderDate,EmployeeID,TotalDue,CommissionStatus,RateChangeCount,ChurnRiskLabel
43659,00:00.0,279,23153.2339,With Commission,1,At Risk
43660,00:00.0,279,1457.3288,With Commission,1,At Risk
43661,00:00.0,282,36865.8012,With Commission,1,At Risk
43662,00:00.0,282,32474.9324,With Commission,1,At Risk
43663,00:00.0,276,472.3108,With Commission,1,At Risk
43664,00:00.0,280,27510.4109,With Commission,1,At Risk
43665,00:00.0,283,16158.6961,With Commission,1,At Risk
43666,00:00.0,276,5694.8564,With Commission,1,At Risk
43667,00:00.0,277,6876.3649,With Commission,1,At Risk
43668,00:00.0,282,40487.7233,With Commission,1,At Risk
43669,00:00.0,283,807.2585,With Commission,1,At Risk
43670,00:00.0,275,6893.2549,With Commission,1,At Risk
43671,00:00.0,283,9153.6054,With Commission,1,At Risk
43672,00:00.0,282,6895.41,With Commission,1,At Risk
43673,00:00.0,275,4216.0258,With Commission,1,At Risk
43674,00:00.0,282,2955.0542,With Commission,1,At Risk
43675,00:00.0,277,6434.0848,With Commission,1,At Risk
43676,00:00.0,275,15992.7446,With Commission,1,At Risk
43677,00:00.0,278,8773.681,With Commission,1,At Risk
43678,00:00.0,281,11036.3964,With Commission,1,At Risk
43679,00:00.0,278,1481.1742,With Commission,1,At Risk
43680,00:00.0,281,12832.9009,With Commission,1,At Risk
43681,00:00.0,279,15524.0686,With Commission,1,At Risk
43682,00:00.0,275,4363.7107,With Commission,1,At Risk
43683,00:00.0,283,48204.0662,With Commission,1,At Risk
43684,00:00.0,279,6301.6258,With Commission,1,At Risk
43685,00:00.0,279,3082.0191,With Commission,1,At Risk
43686,00:00.0,283,3899.6756,With Commission,1,At Risk
43687,00:00.0,275,1416.9322,With Commission,1,At Risk
43688,00:00.0,275,14323.1194,With Commission,1,At Risk
43689,00:00.0,277,38291.2063,With Commission,1,At Risk
43690,00:00.0,275,1460.6061,With Commission,1,At Risk
43691,00:00.0,277,985.018,With Commission,1,At Risk
43692,00:00.0,281,43362.4196,With Commission,1,At Risk
43693,00:00.0,275,23126.45,With Commission,1,At Risk
43694,00:00.0,279,23242.1865,With Commission,1,At Risk
43695,00:00.0,279,44344.8265,With Commission,1,At Risk
43696,00:00.0,279,472.3108,With Commission,1,At Risk
43843,00:00.0,275,37106.2915,With Commission,1,At Risk
43844,00:00.0,282,22801.4324,With Commission,1,At Risk
43845,00:00.0,279,9661.1367,With Commission,1,At Risk
43846,00:00.0,278,1038.5162,With Commission,1,At Risk
43847,00:00.0,278,1022.9155,With Commission,1,At Risk
43848,00:00.0,283,20571.9592,With Commission,1,At Risk
43849,00:00.0,274,23130.2957,No Commission,1,At Risk
43850,00:00.0,282,11473.9009,With Commission,1,At Risk
