CustomerID,PersonID,StoreID,TerritoryID,AccountNumber
1,NULL,934,1,AW00000001
2,NULL,1028,1,AW00000002
3,NULL,642,4,AW00000003
4,NULL,932,4,AW00000004
5,NULL,1026,4,AW00000005
6,NULL,644,4,AW00000006
7,NULL,930,1,AW00000007
8,NULL,1024,5,AW00000008
9,NULL,620,5,AW00000009
10,NULL,928,6,AW00000010
11,NULL,1022,6,AW00000011
12,NULL,622,6,AW00000012
13,NULL,434,7,AW00000013
14,NULL,1020,8,AW00000014
15,NULL,624,9,AW00000015
16,NULL,432,10,AW00000016
17,NULL,1018,5,AW00000017
18,NULL,1332,3,AW00000018
19,NULL,430,1,AW00000019
20,NULL,1016,1,AW00000020
21,NULL,1334,4,AW00000021
22,NULL,494,3,AW00000022
23,NULL,1014,4,AW00000023
24,NULL,1336,4,AW00000024
25,NULL,492,4,AW00000025
26,NULL,1012,5,AW00000026
27,NULL,1338,5,AW00000027
28,NULL,490,6,AW00000028
29,NULL,1010,6,AW00000029
30,NULL,1340,6,AW00000030
31,NULL,942,7,AW00000031
32,NULL,1008,8,AW00000032
33,NULL,1342,9,AW00000033
34,NULL,940,10,AW00000034
35,NULL,1006,2,AW00000035
36,NULL,1344,2,AW00000036
37,NULL,938,1,AW00000037
38,NULL,1004,1,AW00000038
39,NULL,1346,3,AW00000039
40,NULL,936,4,AW00000040
41,NULL,1002,4,AW00000041
42,NULL,1348,4,AW00000042
43,NULL,1290,1,AW00000043
44,NULL,1000,5,AW00000044
45,NULL,1350,5,AW00000045
46,NULL,1288,6,AW00000046
47,NULL,998,6,AW00000047
48,NULL,1352,6,AW00000048
49,NULL,1286,7,AW00000049
50,NULL,996,8,AW00000050
51,NULL,1354,9,AW00000051
52,NULL,1284,10,AW00000052
53,NULL,994,2,AW00000053
54,NULL,1356,2,AW00000054
55,NULL,1282,1,AW00000055
56,NULL,992,1,AW00000056
57,NULL,1358,3,AW00000057
58,NULL,1280,3,AW00000058
59,NULL,990,4,AW00000059
60,NULL,1360,4,AW00000060
61,NULL,1278,4,AW00000061
62,NULL,988,5,AW00000062
63,NULL,1362,5,AW00000063
64,NULL,1276,6,AW00000064
65,NULL,986,6,AW00000065
66,NULL,782,6,AW00000066
67,NULL,1274,7,AW00000067
68,NULL,532,8,AW00000068
69,NULL,784,9,AW00000069
70,NULL,1272,10,AW00000070
71,NULL,530,2,AW00000071
72,NULL,786,2,AW00000072
73,NULL,1270,1,AW00000073
74,NULL,528,1,AW00000074
75,NULL,788,4,AW00000075
76,NULL,1268,3,AW00000076
77,NULL,556,4,AW00000077
78,NULL,790,4,AW00000078
79,NULL,1266,3,AW00000079
80,NULL,554,5,AW00000080
81,NULL,792,5,AW00000081
82,NULL,1264,6,AW00000082
83,NULL,552,6,AW00000083
84,NULL,794,6,AW00000084
85,NULL,1262,7,AW00000085
86,NULL,636,8,AW00000086
87,NULL,796,9,AW00000087
88,NULL,1260,10,AW00000088
89,NULL,634,2,AW00000089
90,NULL,798,5,AW00000090
91,NULL,1258,1,AW00000091
92,NULL,632,1,AW00000092
93,NULL,800,4,AW00000093
94,NULL,1256,4,AW00000094
95,NULL,630,4,AW00000095
96,NULL,1308,4,AW00000096
97,NULL,1254,4,AW00000097
98,NULL,734,5,AW00000098
99,NULL,1310,5,AW00000099
100,NULL,1252,6,AW00000100
101,NULL,732,6,AW00000101
102,NULL,1312,6,AW00000102
103,NULL,1894,7,AW00000103
104,NULL,730,8,AW00000104
105,NULL,1314,9,AW00000105
106,NULL,1892,10,AW00000106
107,NULL,728,2,AW00000107
108,NULL,1316,2,AW00000108
109,NULL,1890,1,AW00000109
110,NULL,1888,1,AW00000110
111,NULL,726,3,AW00000111
112,NULL,1318,4,AW00000112
113,NULL,1886,4,AW00000113
114,NULL,724,4,AW00000114
115,NULL,1320,1,AW00000115
116,NULL,1884,5,AW00000116
117,NULL,722,5,AW00000117
118,NULL,1322,6,AW00000118
119,NULL,1882,6,AW00000119
120,NULL,720,6,AW00000120
121,NULL,1324,7,AW00000121
122,NULL,1880,8,AW00000122
123,NULL,718,9,AW00000123
124,NULL,1326,10,AW00000124
125,NULL,1878,2,AW00000125
126,NULL,716,2,AW00000126
127,NULL,1328,1,AW00000127
128,NULL,1876,1,AW00000128
129,NULL,714,3,AW00000129
130,NULL,1330,4,AW00000130
131,NULL,1874,4,AW00000131
132,NULL,712,3,AW00000132
133,NULL,978,4,AW00000133
134,NULL,1872,5,AW00000134
135,NULL,710,5,AW00000135
136,NULL,980,6,AW00000136
137,NULL,418,6,AW00000137
138,NULL,708,6,AW00000138
139,NULL,982,7,AW00000139
140,NULL,416,8,AW00000140
141,NULL,706,9,AW00000141
142,NULL,984,10,AW00000142
143,NULL,520,2,AW00000143
144,NULL,704,2,AW00000144
145,NULL,522,1,AW00000145
146,NULL,518,1,AW00000146
147,NULL,702,3,AW00000147
148,NULL,524,3,AW00000148
149,NULL,516,3,AW00000149
150,NULL,700,4,AW00000150
151,NULL,526,4,AW00000151
152,NULL,650,5,AW00000152
153,NULL,514,5,AW00000153
154,NULL,626,6,AW00000154
155,NULL,648,6,AW00000155
156,NULL,512,6,AW00000156
157,NULL,628,7,AW00000157
158,NULL,646,8,AW00000158
159,NULL,456,9,AW00000159
160,NULL,658,10,AW00000160
161,NULL,820,2,AW00000161
162,NULL,454,2,AW00000162
163,NULL,660,1,AW00000163
164,NULL,818,1,AW00000164
165,NULL,506,4,AW00000165
166,NULL,662,4,AW00000166
167,NULL,816,4,AW00000167
168,NULL,504,4,AW00000168
169,NULL,804,1,AW00000169
170,NULL,814,5,AW00000170
171,NULL,502,5,AW00000171
172,NULL,806,6,AW00000172
173,NULL,812,6,AW00000173
174,NULL,500,6,AW00000174
175,NULL,808,7,AW00000175
176,NULL,446,8,AW00000176
177,NULL,688,9,AW00000177
178,NULL,810,10,AW00000178
179,NULL,444,2,AW00000179
180,NULL,686,3,AW00000180
181,NULL,1292,1,AW00000181
182,NULL,442,1,AW00000182
183,NULL,684,3,AW00000183
184,NULL,1294,4,AW00000184
185,NULL,1196,4,AW00000185
186,NULL,682,4,AW00000186
187,NULL,1296,4,AW00000187
188,NULL,1194,5,AW00000188
189,NULL,680,5,AW00000189
190,NULL,1298,6,AW00000190
191,NULL,1192,6,AW00000191
192,NULL,678,6,AW00000192
193,NULL,1300,7,AW00000193
194,NULL,1190,8,AW00000194
195,NULL,676,9,AW00000195
196,NULL,1302,10,AW00000196
197,NULL,1188,3,AW00000197
198,NULL,452,3,AW00000198
199,NULL,1304,1,AW00000199
200,NULL,1186,1,AW00000200
201,NULL,450,4,AW00000201
202,NULL,1306,4,AW00000202
203,NULL,1184,4,AW00000203
204,NULL,448,4,AW00000204
205,NULL,1404,4,AW00000205
206,NULL,1182,5,AW00000206
207,NULL,414,5,AW00000207
208,NULL,1406,6,AW00000208
209,NULL,1180,6,AW00000209
210,NULL,412,6,AW00000210
211,NULL,1408,7,AW00000211
212,NULL,1178,8,AW00000212
213,NULL,410,9,AW00000213
214,NULL,1410,10,AW00000214
215,NULL,1176,2,AW00000215
216,NULL,544,2,AW00000216
217,NULL,1412,1,AW00000217
218,NULL,1174,1,AW00000218
219,NULL,1172,3,AW00000219
220,NULL,542,3,AW00000220
221,NULL,1414,4,AW00000221
222,NULL,1170,3,AW00000222
223,NULL,1158,3,AW00000223
224,NULL,1416,5,AW00000224
225,NULL,1168,5,AW00000225
226,NULL,1156,6,AW00000226
227,NULL,1418,6,AW00000227
228,NULL,1166,6,AW00000228
229,NULL,1154,7,AW00000229
230,NULL,1420,8,AW00000230
231,NULL,550,9,AW00000231
232,NULL,1152,10,AW00000232
233,NULL,1422,2,AW00000233
234,NULL,548,2,AW00000234
235,NULL,1150,1,AW00000235
236,NULL,1424,1,AW00000236
237,NULL,546,3,AW00000237
238,NULL,1148,3,AW00000238
239,NULL,1426,4,AW00000239
240,NULL,1956,4,AW00000240
241,NULL,1146,4,AW00000241
242,NULL,1428,5,AW00000242
243,NULL,1954,5,AW00000243
244,NULL,1144,6,AW00000244
245,NULL,1430,6,AW00000245
246,NULL,1952,6,AW00000246
247,NULL,1142,7,AW00000247
248,NULL,1432,8,AW00000248
249,NULL,1950,9,AW00000249
250,NULL,1140,10,AW00000250
251,NULL,1434,2,AW00000251
252,NULL,1948,2,AW00000252
253,NULL,1138,1,AW00000253
254,NULL,472,1,AW00000254
255,NULL,1946,4,AW00000255
256,NULL,1136,4,AW00000256
257,NULL,474,4,AW00000257
258,NULL,1944,4,AW00000258
259,NULL,1134,4,AW00000259
260,NULL,476,5,AW00000260
261,NULL,1942,5,AW00000261
262,NULL,1132,6,AW00000262
263,NULL,580,6,AW00000263
264,NULL,1940,6,AW00000264
265,NULL,590,7,AW00000265
266,NULL,582,8,AW00000266
267,NULL,1938,9,AW00000267
268,NULL,588,10,AW00000268
269,NULL,584,2,AW00000269
270,NULL,1936,2,AW00000270
271,NULL,586,1,AW00000271
272,NULL,612,1,AW00000272
273,NULL,1934,4,AW00000273
274,NULL,952,3,AW00000274
275,NULL,614,4,AW00000275
276,NULL,1932,4,AW00000276
277,NULL,950,4,AW00000277
278,NULL,616,5,AW00000278
279,NULL,1930,5,AW00000279
280,NULL,948,6,AW00000280
281,NULL,618,6,AW00000281
282,NULL,1928,6,AW00000282
283,NULL,946,7,AW00000283
284,NULL,758,8,AW00000284
285,NULL,408,9,AW00000285
286,NULL,944,10,AW00000286
287,NULL,760,3,AW00000287
288,NULL,406,3,AW00000288
289,NULL,498,1,AW00000289
290,NULL,762,1,AW00000290
291,NULL,398,4,AW00000291
292,NULL,496,4,AW00000292
293,NULL,764,1,AW00000293
294,NULL,396,4,AW00000294
295,NULL,1490,4,AW00000295
296,NULL,766,5,AW00000296
297,NULL,394,5,AW00000297
298,NULL,1488,6,AW00000298
299,NULL,768,6,AW00000299
300,NULL,386,6,AW00000300
301,NULL,1486,7,AW00000301
302,NULL,770,8,AW00000302
303,NULL,384,9,AW00000303
304,NULL,1484,10,AW00000304
305,NULL,772,2,AW00000305
306,NULL,382,3,AW00000306
307,NULL,1482,1,AW00000307
308,NULL,774,1,AW00000308
309,NULL,372,4,AW00000309
310,NULL,1480,3,AW00000310
311,NULL,776,4,AW00000311
312,NULL,370,4,AW00000312
313,NULL,1478,4,AW00000313
314,NULL,778,5,AW00000314
315,NULL,440,5,AW00000315
316,NULL,1476,6,AW00000316
317,NULL,780,6,AW00000317
318,NULL,438,6,AW00000318
319,NULL,1474,7,AW00000319
320,NULL,538,8,AW00000320
321,NULL,436,9,AW00000321
322,NULL,1472,10,AW00000322
323,NULL,540,3,AW00000323
324,NULL,2051,2,AW00000324
325,NULL,1470,1,AW00000325
326,NULL,964,1,AW00000326
327,NULL,1994,3,AW00000327
328,NULL,1992,4,AW00000328
329,NULL,470,4,AW00000329
330,NULL,966,4,AW00000330
331,NULL,1990,4,AW00000331
332,NULL,468,5,AW00000332
333,NULL,968,5,AW00000333
334,NULL,1988,6,AW00000334
335,NULL,466,6,AW00000335
336,NULL,970,6,AW00000336
337,NULL,1986,7,AW00000337
338,NULL,578,8,AW00000338
339,NULL,972,9,AW00000339
340,NULL,1984,10,AW00000340
341,NULL,576,2,AW00000341
342,NULL,974,2,AW00000342
343,NULL,1982,1,AW00000343
344,NULL,574,1,AW00000344
345,NULL,976,4,AW00000345
346,NULL,1980,3,AW00000346
347,NULL,572,4,AW00000347
348,NULL,348,3,AW00000348
349,NULL,1978,4,AW00000349
350,NULL,610,5,AW00000350
351,NULL,354,5,AW00000351
352,NULL,1236,6,AW00000352
353,NULL,608,6,AW00000353
354,NULL,356,6,AW00000354
355,NULL,1234,7,AW00000355
356,NULL,606,8,AW00000356
357,NULL,358,9,AW00000357
358,NULL,1232,10,AW00000358
359,NULL,604,2,AW00000359
360,NULL,360,3,AW00000360
361,NULL,1230,1,AW00000361
362,NULL,756,1,AW00000362
363,NULL,374,3,AW00000363
364,NULL,1228,3,AW00000364
365,NULL,754,4,AW00000365
366,NULL,376,4,AW00000366
367,NULL,1226,4,AW00000367
368,NULL,752,5,AW00000368
369,NULL,362,5,AW00000369
